                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69163,                0.47739,                 1.0812,                0.96058,                0.99103,                0.98782,                0.80939,                0.61659,                0.32138,                0.99424,             0.00029759,             0.00029759,             0.00029759
                      2,                 0.6878,                0.46004,                 1.0692,                0.95367,                0.91943,                 0.9476,                0.79889,                0.60847,                0.31708,                0.98146,             0.00059762,             0.00059762,             0.00059762
                      3,                0.71417,                0.49451,                 1.0833,                0.90353,                0.97275,                0.98917,                0.79248,                0.65368,                0.38002,                 1.0158,             0.00089464,             0.00089464,             0.00089464
                      4,                0.70862,                0.49674,                 1.0741,                0.77715,                0.99107,                0.98659,                0.80585,                0.67404,                0.39092,                 1.0402,              0.0008955,              0.0008955,              0.0008955
                      5,                0.73605,                0.52134,                 1.1046,                 0.9313,                0.98641,                0.98937,                0.78943,                0.66451,                0.36998,                 1.0237,               0.000891,               0.000891,               0.000891
                      6,                0.73608,                0.50698,                 1.0889,                0.93002,                0.99228,                0.98572,                0.79816,                0.66495,                 0.3859,                 1.0248,              0.0008865,              0.0008865,              0.0008865
                      7,                0.74928,                0.50378,                 1.1303,                0.90337,                0.92298,                0.93149,                0.74417,                 0.6629,                0.41182,                 1.0241,               0.000882,               0.000882,               0.000882
                      8,                0.70039,                0.48488,                 1.0757,                0.96195,                0.97115,                0.98502,                0.81927,                0.67651,                0.41219,                 1.0538,              0.0008775,              0.0008775,              0.0008775
                      9,                0.71004,                0.47753,                 1.0789,                0.95646,                0.98458,                0.98818,                0.80454,                0.65448,                0.36125,                 1.0285,               0.000873,               0.000873,               0.000873
                     10,                0.70883,                0.47998,                 1.0781,                0.97754,                 0.9705,                0.98844,                0.78707,                0.67571,                 0.3931,                 1.0538,              0.0008685,              0.0008685,              0.0008685
                     11,                0.70601,                0.47197,                 1.0738,                0.91034,                0.91629,                0.93637,                0.77053,                0.63747,                0.34652,                 1.0131,               0.000864,               0.000864,               0.000864
                     12,                0.68814,                0.45609,                 1.0645,                0.87745,                0.96109,                0.98691,                 0.8034,                0.62249,                0.34989,                0.99718,              0.0008595,              0.0008595,              0.0008595
                     13,                0.68869,                0.45449,                 1.0687,                0.95737,                0.98756,                0.98183,                0.81646,                  0.638,                0.35657,                 1.0085,             0.00085501,             0.00085501,             0.00085501
                     14,                0.68095,                0.45885,                 1.0709,                0.93747,                  0.989,                0.98749,                 0.7984,                0.64316,                0.35379,                 1.0192,             0.00085051,             0.00085051,             0.00085051
                     15,                0.68747,                0.45915,                 1.0641,                0.94969,                0.98479,                0.98798,                0.81852,                0.62925,                0.33446,                 1.0082,             0.00084601,             0.00084601,             0.00084601
                     16,                0.69153,                0.45653,                 1.0794,                0.96474,                0.97966,                0.98926,                0.79071,                0.61937,                0.32132,                0.99165,             0.00084151,             0.00084151,             0.00084151
                     17,                0.68794,                0.44751,                 1.0698,                0.92069,                0.98598,                0.96532,                0.78355,                0.61091,                0.31411,                0.99825,             0.00083701,             0.00083701,             0.00083701
                     18,                0.69222,                0.44293,                 1.0675,                0.97726,                0.84757,                0.88274,                0.73447,                0.62161,                0.33626,                0.98253,             0.00083251,             0.00083251,             0.00083251
                     19,                0.69288,                0.46008,                 1.0823,                0.97616,                0.99158,                0.98993,                0.84715,                0.61422,                0.31159,                0.98882,             0.00082801,             0.00082801,             0.00082801
                     20,                0.67785,                0.44484,                  1.062,                0.97146,                0.99381,                0.98924,                0.83156,                0.60853,                0.32134,                0.98672,             0.00082351,             0.00082351,             0.00082351
                     21,                0.65285,                0.41682,                 1.0552,                0.96206,                0.98995,                0.98985,                0.82787,                0.60575,                0.30921,                0.98751,             0.00081901,             0.00081901,             0.00081901
                     22,                0.67857,                0.44703,                 1.0599,                0.93802,                0.91737,                0.96173,                 0.8219,                0.60508,                0.33929,                0.97364,             0.00081451,             0.00081451,             0.00081451
                     23,                0.71634,                0.54971,                 1.1132,                0.97209,                0.98997,                0.98841,                0.83772,                0.63285,                 0.3167,                 1.0074,             0.00081001,             0.00081001,             0.00081001
                     24,                 0.6796,                0.44008,                 1.0712,                0.97606,                0.98632,                0.98933,                0.80548,                0.60414,                0.32773,                0.98058,             0.00080551,             0.00080551,             0.00080551
                     25,                0.67563,                0.42773,                 1.0515,                0.97808,                0.99242,                0.98853,                0.81403,                0.60667,                0.31289,                 0.9884,             0.00080101,             0.00080101,             0.00080101
                     26,                 0.6636,                0.42782,                 1.0591,                 0.9589,                0.99198,                0.98989,                0.82553,                0.62682,                0.31078,                 1.0027,             0.00079651,             0.00079651,             0.00079651
