                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1496,                 1.5481,                  1.459,                0.28147,                0.63474,                0.32226,                0.19277,                  1.303,                 91.604,                 1.5711,             0.00041516,             0.00041516,             0.00041516
                      2,                 1.1942,                 1.2099,                 1.4364,                0.75625,                0.87129,                0.89431,                0.59959,                 1.0732,                 1.5457,                 1.4253,             0.00082771,             0.00082771,             0.00082771
                      3,                 1.1401,                 1.0676,                 1.3835,                0.81831,                 0.8798,                0.89863,                0.66199,                0.92893,                 1.4178,                  1.246,              0.0012361,              0.0012361,              0.0012361
                      4,                 1.1218,                 1.0177,                 1.3512,                0.89277,                0.92495,                0.94062,                0.70558,                0.91718,                0.72726,                 1.1986,              0.0012314,              0.0012314,              0.0012314
                      5,                 1.0326,                0.88958,                 1.2957,                0.89004,                0.96169,                0.94522,                0.71012,                0.93801,                0.62132,                 1.2022,              0.0012252,              0.0012252,              0.0012252
                      6,                 0.9952,                0.83565,                  1.273,                0.90002,                0.96132,                0.94986,                0.73203,                0.92402,                0.71382,                 1.1884,              0.0012191,              0.0012191,              0.0012191
                      7,                0.98526,                0.78618,                 1.2574,                0.90547,                0.97455,                0.95441,                0.78227,                0.75139,                0.49801,                 1.0799,              0.0012129,              0.0012129,              0.0012129
                      8,                0.93197,                0.74524,                 1.2199,                0.88183,                 0.9722,                0.94968,                0.75731,                0.79835,                0.58611,                 1.1338,              0.0012067,              0.0012067,              0.0012067
                      9,                0.91445,                0.71797,                 1.2107,                0.87582,                0.96512,                0.93961,                0.77111,                0.73941,                0.55485,                 1.0669,              0.0012005,              0.0012005,              0.0012005
                     10,                0.90604,                0.69668,                 1.2038,                 0.9078,                0.97455,                0.96113,                0.77379,                0.78998,                0.49406,                 1.1058,              0.0011943,              0.0011943,              0.0011943
                     11,                 0.8766,                0.66363,                 1.1838,                0.90099,                0.98011,                0.95991,                0.78463,                0.72113,                0.47446,                 1.0453,              0.0011881,              0.0011881,              0.0011881
                     12,                0.86486,                0.62771,                 1.1716,                0.90904,                0.97986,                0.95458,                 0.7539,                0.84305,                0.45755,                 1.1074,              0.0011819,              0.0011819,              0.0011819
                     13,                0.84643,                0.60928,                 1.1672,                 0.9128,                0.96596,                0.96533,                0.80005,                0.72437,                0.48253,                 1.0648,              0.0011757,              0.0011757,              0.0011757
                     14,                0.83795,                0.60219,                  1.154,                 0.9066,                0.98482,                0.96187,                0.79227,                 0.7475,                0.44538,                 1.0475,              0.0011696,              0.0011696,              0.0011696
                     15,                0.82079,                0.59375,                  1.143,                0.89424,                0.97455,                0.96034,                 0.7728,                0.78337,                0.46711,                 1.0843,              0.0011634,              0.0011634,              0.0011634
                     16,                0.81376,                0.58079,                 1.1425,                0.90128,                0.98825,                0.96374,                 0.7877,                 0.7474,                0.44945,                 1.0546,              0.0011572,              0.0011572,              0.0011572
                     17,                0.79727,                0.55875,                 1.1242,                0.90945,                0.97362,                0.95704,                0.80182,                0.69913,                0.44173,                 1.0213,               0.001151,               0.001151,               0.001151
                     18,                0.80563,                 0.5686,                 1.1398,                0.91607,                0.97572,                0.96103,                0.78218,                 0.7738,                0.41514,                 1.0753,              0.0011448,              0.0011448,              0.0011448
                     19,                0.79965,                0.56509,                 1.1347,                0.89783,                0.98482,                0.96549,                 0.7905,                0.73088,                0.42797,                 1.0362,              0.0011386,              0.0011386,              0.0011386
                     20,                0.77653,                 0.5445,                 1.1152,                0.90694,                0.97925,                0.96276,                0.80092,                0.71029,                0.42132,                 1.0255,              0.0011324,              0.0011324,              0.0011324
                     21,                0.75824,                0.53126,                 1.1045,                0.90429,                0.98705,                0.96999,                0.80604,                0.66367,                0.39808,                 1.0065,              0.0011263,              0.0011263,              0.0011263
                     22,                0.76975,                0.54072,                 1.1132,                  0.908,                0.98402,                0.96574,                0.81522,                0.69343,                0.40809,                  1.017,              0.0011201,              0.0011201,              0.0011201
                     23,                0.75576,                0.51164,                 1.1061,                0.90568,                0.98482,                0.96278,                0.80862,                0.67455,                0.42254,                 1.0133,              0.0011139,              0.0011139,              0.0011139
                     24,                0.76164,                  0.504,                 1.1025,                0.91327,                0.97939,                0.96186,                0.81585,                0.64311,                0.39862,                0.99117,              0.0011077,              0.0011077,              0.0011077
                     25,                0.73358,                0.50483,                 1.0966,                0.90832,                0.98482,                0.96918,                0.81415,                0.70522,                0.39532,                 1.0384,              0.0011015,              0.0011015,              0.0011015
                     26,                0.73699,                0.50134,                 1.0968,                0.89713,                0.99167,                0.96916,                0.81647,                0.68541,                 0.3934,                  1.024,              0.0010953,              0.0010953,              0.0010953
