                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.111,                 1.5357,                 1.4129,                0.58801,                0.81868,                0.73376,                0.48031,                 1.1943,                 4.4168,                 1.8064,             0.00041365,             0.00041365,             0.00041365
                      2,                 1.1523,                 1.1063,                 1.3897,                0.60142,                0.75827,                0.70221,                0.42566,                 1.3197,                 3.2462,                 1.5969,             0.00081387,             0.00081387,             0.00081387
                      3,                 1.1165,                 1.0212,                 1.3425,                0.60379,                0.74129,                0.71499,                0.38053,                 1.4926,                 1.9854,                 1.9093,              0.0011976,              0.0011976,              0.0011976
                      4,                 1.0833,                0.92095,                 1.3142,                0.67705,                0.69585,                 0.7827,                0.49855,                 1.3956,                 1.7571,                 1.7949,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0195,                0.82156,                 1.2671,                0.85139,                0.89865,                0.92681,                 0.6657,                 1.0173,                0.77325,                 1.3136,               0.001151,               0.001151,               0.001151
                      6,                0.95662,                0.73486,                 1.2259,                0.88888,                0.97354,                0.94333,                0.70591,                0.94239,                0.57117,                 1.1856,              0.0011263,              0.0011263,              0.0011263
                      7,                0.94832,                0.71113,                  1.218,                0.89651,                0.97539,                0.95097,                0.76656,                 0.7642,                0.58015,                 1.0861,              0.0011015,              0.0011015,              0.0011015
                      8,                0.90065,                0.67329,                 1.1879,                0.89418,                0.97241,                0.95643,                0.74165,                0.87529,                0.61931,                 1.1454,              0.0010768,              0.0010768,              0.0010768
                      9,                0.87528,                0.66495,                 1.1722,                0.92028,                0.98011,                0.95185,                0.77593,                0.77508,                0.48628,                 1.0857,               0.001052,               0.001052,               0.001052
                     10,                0.86191,                0.63014,                 1.1688,                0.90716,                 0.9751,                 0.9569,                0.79812,                0.71851,                0.47473,                 1.0601,              0.0010273,              0.0010273,              0.0010273
                     11,                 0.8535,                0.61649,                 1.1628,                0.89642,                0.98825,                0.96188,                0.77641,                0.79573,                 0.5118,                 1.0898,              0.0010025,              0.0010025,              0.0010025
                     12,                0.83105,                0.59262,                 1.1453,                0.90439,                0.96953,                0.96043,                0.79312,                0.74197,                0.45252,                 1.0621,             0.00097775,             0.00097775,             0.00097775
                     13,                0.80391,                0.56847,                 1.1312,                0.90054,                0.98621,                0.96619,                0.80727,                0.69025,                0.43182,                 1.0266,               0.000953,               0.000953,               0.000953
                     14,                0.79524,                 0.5429,                  1.119,                0.90124,                0.99167,                0.95992,                0.81479,                 0.6677,                0.41675,                0.99441,             0.00092825,             0.00092825,             0.00092825
                     15,                0.76578,                0.52925,                 1.1062,                0.91891,                0.98353,                0.96794,                 0.8184,                0.69742,                0.39497,                  1.017,              0.0009035,              0.0009035,              0.0009035
                     16,                0.76214,                0.52502,                 1.1032,                0.89983,                0.98696,                0.95807,                0.78663,                0.71031,                0.43536,                 1.0246,             0.00087875,             0.00087875,             0.00087875
                     17,                0.72676,                0.50513,                 1.0869,                0.91474,                0.97455,                0.96892,                 0.8178,                0.70213,                 0.3903,                 1.0237,               0.000854,               0.000854,               0.000854
                     18,                0.73754,                0.50139,                 1.0877,                0.92079,                0.98482,                0.96137,                  0.817,                0.65576,                0.39382,                 1.0054,             0.00082925,             0.00082925,             0.00082925
                     19,                 0.7351,                0.49577,                 1.0921,                0.89711,                0.99167,                 0.9714,                0.82661,                 0.6827,                0.40084,                 1.0252,              0.0008045,              0.0008045,              0.0008045
